source_key	parent_source_key	work_big	work_mid	name_raw	name_normalized	path_raw
fa422737d4c6d09d97562d7db76ab9be036e7c7d7c55b2adca28974602edbe0d	0909a7fc9088e27abe0969e37e9479a103d9a0a31d156a11c146ebc361f41abe	토목	해체 및 철거공사	굴착작업	굴착작업	토목 > 해체 및 철거공사 > 굴착작업
425ffba9c62ed5069f4008c35ef560a44bf846e1c668c92fcef749afbcf57368	2fedcc96256e2b1b71331e3bcc7fdf71299ee7ac4c834c71fe3e0c4b3465fe0a	건축	가설공사	기타	기타	건축 > 가설공사 > 기타
a6a5e4d7255d324287e882a1555aecf47fade3f5017a700b758a9804c6f41ad0	9079d78c78ec31d527c42aa8d8c9d72cb16a04a847b6d82b28a20e0615ef77c8	건축	건축 토공사	기타	기타	건축 > 건축 토공사 > 기타
bd4561fc684ea8bb9974ff563ae35e72770783be089377481b9a104cf30e9962	ff545edd9c384c7436e7a912c81232e604620903a4326832fd2b421853373a43	건축	건축물 부대공사	기타	기타	건축 > 건축물 부대공사 > 기타
94f51f41b16b6844b903633080dca292dbcc7a4c5a8b4564bd130b15c7b99330	85443ee510910c572a3dd393ac23578bf1e69b901fa5c910176180cf0da0f4d7	건축	금속공사	기타	기타	건축 > 금속공사 > 기타
06a2087c115e5f265ded5e0acc6a29eac6cb7c51ea04b00e4b9066e8746f6ef8	205be67904970d69788fed1918f4b6c4605071579ea91c894433c3bb2950d906	건축	도장공사	기타	기타	건축 > 도장공사 > 기타
a98fd84b212c22e1f94efd424f4112da08dfc3afae94cff8b12806a4b911f555	88501d9327e445bbfa0da8886ce396e9005b40232883c104c8aadb131b07a440	건축	미장공사	기타	기타	건축 > 미장공사 > 기타
939baeaa803b7a9826083454368b09fa757eba93bba48c133c2718de5f41c6ca	fbf332b3c0324282a2c7e0a2b8a4414250a1505f6fe0713942b14485a385f7af	건축	방수공사	기타	기타	건축 > 방수공사 > 기타
94a5442c0ad0a52837f0e81e9f60cd0ab73ef8e7c00158a27916e3eec011d8a4	3f17638c2b008f9a89bd550330559b27030f895897215e4f7bbb14d59df1baee	건축	조적공사	기타	기타	건축 > 조적공사 > 기타
05186d4c097731184d0093ea6a2db13967855a34c100a975e6da852d4b3d7644	482a7dcc2bf530eae9ab1032c048bc32d5e180c80cadc6c1fea286bdc11e6487	건축	지정공사	기타	기타	건축 > 지정공사 > 기타
ab69b72428e53beb8399bc627c392387782d6bc1806ba71232c9b1184751c189	12c797fc1a286822ecca81b0ab458d0fcaad2e02b003379c7dfe4bcd2ee1a3f0	건축	창호 및 유리공사	기타	기타	건축 > 창호 및 유리공사 > 기타
ea9399fb20a8f7a2b67ccbb76ee4fdd55fc19ba8ba76c76447a86a6ef9f0fb2f	1bda673e67d9a12e21efca383859477c9ee86d489623313ec64c630192394805	건축	철골공사	기타	기타	건축 > 철골공사 > 기타
680679d6bc82afd03a6e4e9cd74b1abf65e9f712503b1db7b33eec495fb7f550	3143a03fce721cb2d976b2aed78c9b1b10edcfa04d206f1dcddf59340f1e6b18	건축	철근콘크리트공사	기타	기타	건축 > 철근콘크리트공사 > 기타
a8dc07071d29229dd92c749a393e49b04f8eac86771eec380181aef45928b353	817b82a16c6a75af5c6073f5a2f1d4d855343279e834f05e19cfeee8872ea5da	건축	해체 및 철거공사	기타	기타	건축 > 해체 및 철거공사 > 기타
2f809f26a6f855e8b3c4c9a5553d26b821259898e03a8636aa4de69c95b3afe2	92780acb02509d83e67eb6aa04be60122fe8cc8344750f4b420cbb1826c665cd	기계설비	기계설비공사	기타	기타	기계설비 > 기계설비공사 > 기타
cd863fbf19f465d873c29bdf5a264cc058cdfaf5ac39918c386c5bfb5af8c7f1	36f84dc937e94c7f2d307dbb7c398c9e7ce45d7161a7d8c742eadc62482cd751	기타	기타	기타	기타	기타 > 기타 > 기타
3f8dccb3f99881258babbedc4f80f863fe24e2cfe216b03ef6a143c642e9ca4a	d36f80d37be8a8478764149f90b6eb8acd669d1f46b568acd360ea21fded3b73	전기설비	전기설비공사	기타	기타	전기설비 > 전기설비공사 > 기타
eeaeec2dc451835e1b2ad21931f68ea6ea5bfae54b30d3e6780e7e4a6e9f23d5	7184418b3260b94cb289fc430ec6870768631cedc0276f08da75d1fd21634329	토목	가설공사	기타	기타	토목 > 가설공사 > 기타
cfd1bba1874f0260dc54a27ac44b9acace84b8d4b0bc36e76347265e0660076c	1ffaed9eb99ad7a3e2933a29394d986da2eef6b40a53650f4dae02e33b6f8718	토목	강구조물공사	기타	기타	토목 > 강구조물공사 > 기타
de97f01f123151fcc13ff8a94cb080e76f99b9ae5f52b6c4326afb567349c292	6142818dbeca390db750ed5b8ab72ccae2f3848dc1bf54063f0fc7f4d8d552a2	토목	관공사	기타	기타	토목 > 관공사 > 기타
c20e1a3b7b60229e7088d48a47f1b18727c9200993b3a6abc443fa2d9e6916b2	7d97163b1558c6a7a2824a97cca8eac37d3e3f1b9c823e21ea840677d1420e38	토목	관공사 부대공사	기타	기타	토목 > 관공사 부대공사 > 기타
f85390d3a8b55a553e86a2ad6a75e49c8292fbf8e40c973ffdad6766b32f6439	2438c2b03171c8e6534f7020c743b9249b389886e7e9d7e081fc1977f09970a2	토목	교량공사	기타	기타	토목 > 교량공사 > 기타
6e2e2e08f066a4ec3a1369ad57367f7451f4158560269ceb579a8fc49407d24e	0f74161b28a96d20a1cd347de2d86209e75941c55dc29d08c4e42dd2d7da2b57	토목	댐 및 제방공사	기타	기타	토목 > 댐 및 제방공사 > 기타
588c3539013838dfe248d1bcf6f48a488cc8a5b71e3d213b3e1c1aa01265d742	9039310779ad406faf8b2990ff1819ffac9770f931566c02270ccc7a604f177e	토목	도로 및 포장공사	기타	기타	토목 > 도로 및 포장공사 > 기타
e79bceb3058a8010eca8c28377a9929eb7d73c653d922d698581b585497cd6e7	740ba6fe62edf748f9e9707a5a8db50176a48e582e46c9aa93a53787d15b5f4d	토목	말뚝공사	기타	기타	토목 > 말뚝공사 > 기타
4ec42dacca9f4ef79f5009fb51fbfe94bb4f5a95c38517b4451596f40ca6d5ed	d5fedcab6dc5723721417460d705395cea2ad4ef0499334acace7b9324335793	토목	지반개량공사	기타	기타	토목 > 지반개량공사 > 기타
8f26de6e5bcf6c1cc1e6be6eb86e7a6d9e70ad00281d696ede2d340fe289d87c	a90eb6dc876af3ebf1285c8058c262a4560ca5a65a9b4cce20e5c452c67f5d08	토목	지반조사	기타	기타	토목 > 지반조사 > 기타
e0c1efa28cd8a2fc2f5653c3049a2fd2479fb2bda4c348d9a803b336dd36da4b	e69cac9d45fe928cd4a40876d9f5ab38e4da36b946be0b4d1183887495d731e4	토목	철근콘크리트공사	기타	기타	토목 > 철근콘크리트공사 > 기타
71bf5ba30346f5bcc502c5e0801c7cfc27c9573d737aabc6db127c9d96106f83	656ab8544db01eb4f69dbbe4e0aed46f8e974318ec2b5a02418d8a6d4121cbb3	토목	철도 및 궤도공사	기타	기타	토목 > 철도 및 궤도공사 > 기타
c992d71564fbb785f10c2633ff2abdbd19a131a921805d21266556806859eadf	d781735c3affaf0eac8b0645b21bb4e1ada1f24922cf9ba9bf90c033826b21c5	토목	터널공사	기타	기타	토목 > 터널공사 > 기타
570bb48ee02905fad273d9db94ec34b3b8f1f07bcba01989dfc8fd3dc7213928	53ad3ee18d06b1c5945f1561d9d0a019b575a9f59dba70d67a6f2e7482581949	토목	토공사	기타	기타	토목 > 토공사 > 기타
a03a6f7590bad9e89d74f8d9059e125fc8913828e6d6921350828231054483f2	3004e0d20c6003920e6c7e0d856ddf2908aa975470afa0e46154a70cef1fe097	토목	하천공사	기타	기타	토목 > 하천공사 > 기타
76f44589dca7319a757781fc96f7fa000e196fc37e92a4b544a930768656d3f6	a1fe25df3ef2cb7045f3161778422f0eb2183634902cf257026dd6c7cf7fbea8	토목	항만공사	기타	기타	토목 > 항만공사 > 기타
5da13366cacb99f1cb93dd2db1f241ca6dcb8e2f9c9b0bf92d6de5122e9dfe80	0909a7fc9088e27abe0969e37e9479a103d9a0a31d156a11c146ebc361f41abe	토목	해체 및 철거공사	기타	기타	토목 > 해체 및 철거공사 > 기타
8707fae9c982d82115897e463686818a5f50686fd8281ac20ecc94cd40f740c7	2fedcc96256e2b1b71331e3bcc7fdf71299ee7ac4c834c71fe3e0c4b3465fe0a	건축	가설공사	도장작업	도장작업	건축 > 가설공사 > 도장작업
c670ffb9d74894e6080f7008d85c0ff0c19bb8f73b1f40b5fad56a2b9ab1328d	ff545edd9c384c7436e7a912c81232e604620903a4326832fd2b421853373a43	건축	건축물 부대공사	도장작업	도장작업	건축 > 건축물 부대공사 > 도장작업
